trial,axis,axis_mapping,n_samples,target_time_axis,video_detrended_mean,video_detrended_std,vicon_detrended_mean,vicon_detrended_std,video_unit,vicon_unit
WT02,horizontal,video_x vs -vicon_Y,954,Vicon time_s,0.000000000,5.879221045,0.000000000,9.097317041,px,mm
WT02,vertical,video_y vs -vicon_Z,954,Vicon time_s,-0.000000000,10.008081863,-0.000000000,12.113268966,px,mm
WT06,horizontal,video_x vs -vicon_Y,717,Vicon time_s,-0.000000000,6.002615689,0.000000000,12.607545300,px,mm
WT06,vertical,video_y vs -vicon_Z,717,Vicon time_s,0.000000000,5.722993268,-0.000000000,11.733474703,px,mm
WT07,horizontal,video_x vs -vicon_Y,842,Vicon time_s,-0.000000000,5.899520004,0.000000000,10.329577753,px,mm
WT07,vertical,video_y vs -vicon_Z,842,Vicon time_s,-0.000000000,5.570958843,0.000000000,10.423552325,px,mm
WT08,horizontal,video_x vs -vicon_Y,727,Vicon time_s,-0.000000000,5.674856036,-0.000000000,15.628544107,px,mm
WT08,vertical,video_y vs -vicon_Z,727,Vicon time_s,-0.000000000,4.443443743,-0.000000000,10.088461441,px,mm
WT09,horizontal,video_x vs -vicon_Y,767,Vicon time_s,-0.000000000,6.307033748,0.000000000,14.411817749,px,mm
WT09,vertical,video_y vs -vicon_Z,767,Vicon time_s,-0.000000000,5.388912144,0.000000000,11.176743995,px,mm
WT10,horizontal,video_x vs -vicon_Y,717,Vicon time_s,-0.000000000,5.058910185,0.000000000,12.153911735,px,mm
WT10,vertical,video_y vs -vicon_Z,717,Vicon time_s,-0.000000000,5.345720056,0.000000000,9.820633989,px,mm
WTFAST11,horizontal,video_x vs -vicon_Y,392,Vicon time_s,0.000000000,1.866764894,0.000000000,4.622117649,px,mm
WTFAST11,vertical,video_y vs -vicon_Z,392,Vicon time_s,0.000000000,6.886911140,-0.000000000,20.805836504,px,mm
WTFAST14,horizontal,video_x vs -vicon_Y,407,Vicon time_s,0.000000000,3.107183620,-0.000000000,6.300014078,px,mm
WTFAST14,vertical,video_y vs -vicon_Z,407,Vicon time_s,0.000000000,7.317190644,-0.000000000,20.056271890,px,mm
WTFAST18,horizontal,video_x vs -vicon_Y,467,Vicon time_s,-0.000000000,3.236859098,0.000000000,5.040955597,px,mm
WTFAST18,vertical,video_y vs -vicon_Z,467,Vicon time_s,-0.000000000,8.780244319,0.000000000,21.405172677,px,mm
WTFAST19,horizontal,video_x vs -vicon_Y,467,Vicon time_s,-0.000000000,6.318689828,0.000000000,11.120182892,px,mm
WTFAST19,vertical,video_y vs -vicon_Z,467,Vicon time_s,-0.000000000,6.354334682,0.000000000,18.568290466,px,mm
WTFAST20,horizontal,video_x vs -vicon_Y,476,Vicon time_s,-0.000000000,4.690586084,0.000000000,7.541423211,px,mm
WTFAST20,vertical,video_y vs -vicon_Z,476,Vicon time_s,-0.000000000,7.021853082,0.000000000,19.749072828,px,mm
WTFAST21,horizontal,video_x vs -vicon_Y,496,Vicon time_s,-0.000000000,2.422320571,0.000000000,5.220796627,px,mm
WTFAST21,vertical,video_y vs -vicon_Z,496,Vicon time_s,-0.000000000,8.109337980,0.000000000,19.209059860,px,mm
WTFAST22,horizontal,video_x vs -vicon_Y,526,Vicon time_s,0.000000000,3.711479054,-0.000000000,4.641870112,px,mm
WTFAST22,vertical,video_y vs -vicon_Z,526,Vicon time_s,0.000000000,9.669869297,-0.000000000,19.863809227,px,mm
